1	RESEARCH	RESEARCH	NN	O	research	nn	2	1	['P1,32 113 286 148']
2	REPORT	REPORT	NN	O	report	_	0	1	['P1,302 113 495 148']
3	213	213	CD	NUMBER	213	dep	2	1	['P1,2054 114 2131 148']

1	Early	Early	RB	O	early	advmod	3	2	['P1,243 247 443 318']
2	Triassic	Triassic	JJ	MISC	triassic	amod	3	2	['P1,459 247 744 304']
3	Ophiuroids	Ophiuroids	NNS	MISC	ophiuroid	_	0	2	['P1,763 247 1189 318']
4	:	:	:	O	:	_	0	2	['P1,763 247 1189 318']
5	Their	Their	PRP$	O	they	poss	6	2	['P1,1207 247 1408 304']
6	Paleoecology	Paleoecology	NNP	O	Paleoecology	dep	3	2	['P1,1425 247 1914 318']
7	,	,	,	O	,	_	0	2	['P1,1425 247 1914 318']

1	Taphonomy	Taphonomy	NNP	O	Taphonomy	_	0	3	['P1,545 330 995 401']
2	,	,	,	O	,	_	0	3	['P1,545 330 995 401']
3	and	and	CC	O	and	cc	4	3	['P1,1014 330 1152 387']
4	Distribution	Distribution	NN	O	distribution	appos	1	3	['P1,1169 330 1613 387']

1	RICHARD	RICHARD	NNP	PERSON	RICHARD	nn	3	4	['P1,829 474 1019 504']
2	J.	J.	NNP	PERSON	J.	nn	3	4	['P1,1029 475 1059 504']
3	TWITCHETT	TWITCHETT	NNP	PERSON	TWITCHETT	_	0	4	['P1,1072 474 1318 504']

1	School	School	NNP	O	School	_	0	5	['P1,153 528 269 558']
2	of	of	IN	O	of	_	0	5	['P1,280 528 317 566']
3	Earth	Earth	NNP	LOCATION	Earth	nn	8	5	['P1,319 528 432 564']
4	,	,	,	O	,	_	0	5	['P1,319 528 432 564']
5	Ocean	Ocean	NNP	ORGANIZATION	Ocean	nn	8	5	['P1,447 528 555 558']
6	and	and	CC	ORGANIZATION	and	_	0	5	['P1,566 528 635 558']
7	Environmental	Environmental	NNP	ORGANIZATION	Environmental	nn	8	5	['P1,643 528 910 558']
8	Sciences	Sciences	NNPS	ORGANIZATION	Sciences	prep_of	1	5	['P1,920 528 1072 564']
9	,	,	,	O	,	_	0	5	['P1,920 528 1072 564']
10	University	University	NNP	ORGANIZATION	University	appos	1	5	['P1,1089 528 1266 566']
11	of	of	IN	ORGANIZATION	of	_	0	5	['P1,1276 528 1313 566']
12	Plymouth	Plymouth	NNP	ORGANIZATION	Plymouth	prep_of	10	5	['P1,1315 528 1493 566']
13	,	,	,	O	,	_	0	5	['P1,1315 528 1493 566']
14	Plymouth	Plymouth	NNP	ORGANIZATION	Plymouth	nn	16	5	['P1,1504 528 1674 566']
15	PL4	PL4	NN	O	pl4	nn	16	5	['P1,1684 528 1756 558']
16	8AA	8AA	NN	O	8aa	appos	1	5	['P1,1767 528 1849 564']
17	,	,	,	O	,	_	0	5	['P1,1767 528 1849 564']
18	UK	UK	NNP	LOCATION	UK	appos	1	5	['P1,1866 528 1927 558']
19	and	and	CC	O	and	_	0	5	['P1,1933 528 2002 558']
20	Earth	Earth	NNP	LOCATION	Earth	conj_and	18	5	['P1,112 571 217 602']
21	and	and	CC	O	and	_	0	5	['P1,228 571 297 602']
22	Planetary	Planetary	NNP	O	Planetary	nn	23	5	['P1,306 571 480 609']
