1	Rev.	Reu.	NNP	O	Rev.	nn	2	1	['P1,1227 81 1303 112']
2	M	M	NNP	O	M	_	0	1	['P1,1319 81 1360 112']
3	us	us	PRP	O	we	dep	2	1	['P1,1361 92 1410 112']
4	.	.	.	O	.	_	0	1	['P1,1361 92 1410 112']

1	Argentina	Argentino	NNP	LOCATION	Argentina	nn	2	2	['P1,1424 81 1614 120']
2	Cienc	Cienc	NNP	O	Cienc	_	0	2	['P1,1630 81 1739 112']
3	.	.	.	O	.	_	0	2	['P1,1630 81 1739 112']

1	Nat.	Nat.	NNP	O	Nat.	nn	3	3	['P1,1755 81 1846 119']
2	,	,	,	O	,	_	0	3	['P1,1755 81 1846 119']
3	n.s.	n.s.	NNP	O	n.s.	_	0	3	['P1,1864 92 1925 112']
4	8	8	CD	NUMBER	8	num	3	3	['P1,1615 128 1697 165']
5	(	(	NN	O	(	nn	7	3	['P1,1615 128 1697 165']
6	1	1	CD	NUMBER	1	num	7	3	['P1,1615 128 1697 165']
7	)	)	NN	O	)	dep	3	3	['P1,1615 128 1697 165']
8	:	:	:	O	:	_	0	3	['P1,1615 128 1697 165']
9	63-68	68-68	CD	NUMBER	63-68	dep	3	3	['P1,1713 129 1823 166']
10	,	,	,	O	,	_	0	3	['P1,1713 129 1823 166']
11	2006	2006	CD	DATE	2006	num	13	3	['P1,1838 129 1930 160']
12	Buenos	Buenos	NNP	LOCATION	Buenos	nn	13	3	['P1,1457 178 1568 203']
13	Aires	Aires	NNP	LOCATION	Aires	appos	9	3	['P1,1576 178 1664 208']
14	,	,	,	O	,	_	0	3	['P1,1576 178 1664 208']
15	ISSN	ISSN	NNP	O	ISSN	appos	9	3	['P1,1675 178 1765 203']
16	1514-5158	1514-5158	CD	DURATION	1514-5158	num	15	3	['P1,1773 179 1931 204']

1	Humerus	Humerus	NN	O	humerus	_	0	4	['P1,420 279 654 317']
2	of	of	IN	O	of	_	0	4	['P1,671 278 723 317']
3	a	a	DT	O	a	det	6	4	['P1,737 290 765 317']
4	basal	basal	JJ	O	basal	amod	6	4	['P1,780 279 915 317']
5	abelisauroid	abelisauroid	NN	O	abelisauroid	nn	6	4	['P1,932 278 1252 317']
