1	c?	EL	NN	O	c?	_	0	1	['P1,15 455 354 507']
2	+	SEVIER	CC	O	+	_	0	1	['P1,15 455 354 507']
3	Cretaceous	Cretaceous	JJ	O	cretaceous	amod	4	1	['P1,1040 471 1266 507']
4	Research	Research	NN	O	research	conj_+	1	1	['P1,1285 471 1473 507']
5	27	27	CD	NUMBER	27	number	6	1	['P1,1491 471 1539 507']
6	(	(	CD	NUMBER	(	dep	4	1	['P1,1560 471 1693 515']
7	2006	2006	CD	DATE	2006	num	9	1	['P1,1560 471 1693 515']
8	)	)	CD	NUMBER	)	num	9	1	['P1,1560 471 1693 515']
9	l39	139	NN	O	l39	dep	1	1	['P1,1717 471 1901 507']
10	?	?	CD	NUMBER	?	num	11	1	['P1,1717 471 1901 507']
11	l45	??145	NN	O	l45	dep	9	1	['P1,1717 471 1901 507']

1	A	A	DT	O	a	det	6	2	['P1,275 632 351 706']
2	distinctive	distinctive	JJ	O	distinctive	amod	6	2	['P1,391 631 839 708']
3	new	new	JJ	O	new	amod	6	2	['P1,879 656 1055 708']
4	theropod	theropod	JJ	O	theropod	amod	6	2	['P1,1095 631 1482 730']
5	dinosaur	dinosaur	NN	O	dinosaur	nn	6	2	['P1,1522 631 1896 707']
6	track	track	NN	O	track	_	0	2	['P1,1933 631 2152 707']

1	CRETACEOUS	CRETACEOUS	NNS	O	cretaceous	_	0	3	['P1,751 1146 2145 1309']

1	RE	B.E	VB	O	re	_	0	4	['P1,1298 1367 1484 1444']
2	SEARC	SEAR.C	NNP	O	SEARC	nn	3	4	['P1,1530 1364 2008 1444']
3	I-I	H	NN	O	i-i	dobj	1	4	['P1,2048 1364 2136 1441']

1	www.elsevier.com/1ocate/	www.elsevier.comllocatel	NN	O	www.elsevier.com/1ocate/	nn	2	5	['P1,819 1690 1828 1761']
2	CretRes	CretRes	NNS	O	cretre	_	0	5	['P1,1832 1692 2152 1761']
3	from	from	IN	O	from	_	0	5	['P1,7 1974 392 2114']
4	the	the	DT	O	the	det	5	5	['P1,463 1975 702 2114']
5	Cretaceous	Cretaceous	JJ	O	cretaceous	prep_from	2	5	['P1,778 1975 1659 2115']
6	of	of	IN	O	of	_	0	5	['P1,308 2149 369 2198']
7	Thailand	Thailand	NNP	LOCATION	Thailand	prep_of	5	5	['P1,390 2149 654 2198']
8	:	:	:	O	:	_	0	5	['P1,390 2149 654 2198']
9	Implications	Implications	NNS	O	implication	dep	2	5	['P1,685 2149 1036 2213']
