                  Proc                 Proc ['P1,30 82 109 107']
                     .                    . ['P1,30 82 109 107']
                 Natl.                Natl. ['P1,122 81 198 107']
                  Acad                 Acad ['P1,210 81 298 108']
                     .                    . ['P1,210 81 298 108']
                   Sci                  Sci ['P1,313 82 367 108']
                     .                    . ['P1,313 82 367 108']
                   USA                  USA ['P1,385 82 452 108']
                   Vol                  Vol ['P1,31 114 92 140']
                     .                    . ['P1,31 114 92 140']
                    90                   90 ['P1,106 114 148 144']
                     ,                    , ['P1,106 114 148 144']
                    pp                   pp ['P1,162 122 207 146']
                     .                    . ['P1,162 122 207 146']
             9413-9416            9413-9416 ['P1,221 115 383 145']
                     ,                    , ['P1,221 115 383 145']
               October              October ['P1,397 114 518 141']
                  1993                 1993 ['P1,531 115 594 141']
             Evolution            Evolution ['P1,31 155 176 181']
                 Early                Early ['P1,31 256 199 315']
            Cretaceous           Cretaceous ['P1,223 256 564 306']
                mammal               mammal ['P1,588 257 843 305']
                  from                 from ['P1,866 257 1010 306']
                 North                North ['P1,1033 257 1211 306']
               America              America ['P1,1234 257 1491 306']
                   and                  and ['P1,1513 258 1621 306']
                   the                  the ['P1,1644 258 1740 307']
             evolution            evolution ['P1,1763 258 2043 307']
                    of                   of ['P1,2066 258 2129 307']
             marsupial            marsupial ['P1,31 322 334 382']
                dental               dental ['P1,358 322 547 372']
            characters           characters ['P1,567 322 888 372']
                     (                    ( ['P1,105 411 264 441']
            vertebrate           vertebrate ['P1,105 411 264 441']
X paleontology/biogeography/Tribosphenida paleontology/biogeography/Trlbosphentda ['P1,275 409 1100 443']
                     /                    / ['P1,275 409 1100 443']
            Metatheria           Metatheria ['P1,275 409 1100 443']
                     )                    ) ['P1,275 409 1100 443']
               RICHARD              RICHARD ['P1,30 487 200 519']
                    L.                   L. ['P1,216 487 255 519']
               CIFELLI              CIFELLI ['P1,274 487 423 519']
              Oklahoma             Oklahoma ['P1,30 558 163 581']
                Museum               Museum ['P1,172 558 284 581']
                    of                   of ['P1,294 558 322 581']
               Natural              Natural ['P1,330 558 429 581']
               History              History ['P1,439 558 537 587']
                   and                  and ['P1,548 558 595 582']
            Department           Department ['P1,605 559 759 587']
                    of                   of ['P1,769 558 797 582']
               Zoology              Zoology ['P1,805 559 919 587']
                     ,                    , ['P1,805 559 919 587']
            University           University ['P1,932 558 1068 587']
                    of                   of ['P1,1078 559 1107 582']
              Oklahoma             Oklahoma ['P1,1114 559 1255 586']
                     ,                    , ['P1,1114 559 1255 586']
X               Nonnan               Norman ['P1,1266 559 1381 586']
                     ,                    , ['P1,1266 559 1381 586']
                    OK                   OK ['P1,1393 559 1439 583']
                 73019                73019 ['P1,1449 560 1522 583']
          Communicated         Communicated ['P1,24 667 505 723']
                    by                   by ['P1,527 667 599 734']
                 Edwin                Edwin ['P1,623 668 820 723']
                    H.                   H. ['P1,846 669 923 723']
               Colbert              Colbert ['P1,956 668 1207 731']
                     ,                    , ['P1,956 668 1207 731']
                  July                 July ['P1,1234 667 1365 735']
                    12                   12 ['P1,1394 669 1478 731']
                     ,                    , ['P1,1394 669 1478 731']
                  1993                 1993 ['P1,1511 669 1649 724']
X             ABSTRACT             ASSTRACT ['P1,23 877 454 938']
                     A                    A ['P1,617 878 673 936']
                mammal               mammal ['P1,697 879 998 937']
                  from                 from ['P1,1021 878 1189 937']
